nombre_oficial,url,calle,colonia,cp,alcaldia,telefonos,horarios,costos,resumen,fundacion,latitud,longitud
Museo de la Charrería,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=883,Isabel la Católica 108 esq. Izazaga,Centro Histórico,6080,Cuauhtémoc,"55 5709 4823, 55 5709 5032",Lunes a viernes de 10:30 a 15 h.y de 16 a 17:30 h.,Entrada libre,"El Museo de la Federación Mexicana de Charrería está asentado en lo que fuera el convento de Monserrat y exhibe trajes, arreos, monturas, pinturas, fotografías y objetos relacionados con el pasado y presente de la charrería en México.",1 de enero de 1973,19.4261275,-99.1373084
Museo de Sitio San Sebastián Atzacoalco,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2391,"República de Bolívia 46, esq. Rodríguez Puebla",Centro,6000,Cuauhtémoc,55 3450 9471,martes a domingo de las 10 a 17 hrs.,"Entrada general $ 50, Descuento para estudiantes, adultos mayores y niños","El museo resguarda obras propiamente del templo, entre los que se encuentran documentos notables, esculturas, pinturas, un recorrido fotográfico por la historia arquitectónica, incluso del mismo barrio.",16 de julio de 2023,19.4391662,-99.13052549999999
Museo Archivo de la Fotografía (MAF),https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1109,República de Guatemala 34-38,Centro Histórico,6010,Cuauhtémoc,"55 2616 7057, 55 2616 6975",Abierto al público de martes a domingo de 10 a 18 hrs.,Entrada libre,"El Museo Archivo de la Fotografía (MAF) es un espacio dedicado a la conservación, investigación y difusión de la fotografía, con especial atención de aquella que refleja los diversos momentos históricos ocurridos durante el siglo XX, con la intención de mostrar la transformación de la ciudad de México.",,19.4350151,-99.1321904
Museo Numismático Nacional,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1337,"Apartado 13, entrada por República de Bolivia 40",Centro,6000,Cuauhtémoc,"55 5080 9850 ext. 4551, 55 5208 9982, 55 5511 7700 ext. 4541",Martes a domingo de 10 a 15 h.,Entrada libre,"El Museo Numismático Nacional se encuentra en el edificio de la antigua Casa de Moneda de México, donde se acuñaron monedas hasta 1992. El museo exhibe una colección de monedas, billetes y herramientas utilizadas en la fabricación de monedas.",,19.4393163,-99.13089339999999
Museo Interactivo Bimbo (MiBIMBO),https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2572,Isabel La Católica 51,Centro,6000,Cuauhtémoc,,,,"Es un espacio interactivo dedicado a recorrer la historia y evolución de la empresa Bimbo desde 1945, mostrando cómo pasó de ser una panadería local a convertirse en una de las panificadoras más importantes del mundo.",20 de enero de 2026,19.4309826,-99.136838
Museo de la Policía de la Ciudad de México,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=759,Victoria 82,Centro Histórico,6050,Cuauhtémoc,"55 8957 3360, 55 5242 5100 exts. 5538 y 5560","Abierto al público de lunes a domingo 9 a 15:30 hrs. Los recorridos guiados comienzan a los 30 minutos de cada hora, comenzando a las 9:30 horas.",El Ingreso y recorridos son totalmente gratuitos,El museo de la policía está ubicado en un increíble edificio de la época porfiriana y cuenta con una exposición permanente sobre la historia de la policía de la CDMX y distintas exposiciones temporales de diversos artistas.,15 de julio de 1991,19.4317778,-99.14614259999999
Museo del Instituto Cultural México Israel,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=708,República de El Salvador 41,Centro Histórico,6080,Cuauhtémoc,55 5709 8853,Lunes a viernes de 10:00 a 17:00 hrs.,Entrada libre,El Museo del Instituto Cultural México Israel se encuentra en un edificio del siglo XVII en el Centro Histórico de la Ciudad de México. Cuenta con 5 salas de exhibición sobre tradiciones y cultura judía e israelí.,1993,19.4296718,-99.1386323
Museo José Luis Cuevas,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=459,Academia 13,Centro Histórico,6060,Cuauhtémoc,"55 5542 8959, 5542 6198 ext. 101",Abierto al público de martes a domingo de 9:30 a 17:30,"Entrada general: $30, 50% de descuento a maestros y estudiantes con credencial, Entrada libre a afiliados al INAPAM con credencial, Domingos entrada libre al público en general.","El Museo José Luis Cuevas alberga la obra donada por el artista José Luis Cuevas, con una colección permanente de más de 1900 obras de arte contemporáneo de Latinoamérica, Europa y Norteamérica.",8 de julio de 1992,19.4336376,-99.1289279
"Museo Choco Story Zócalo, Museo del Cacao & Chocolate",https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2526,República de Guatemala 24,Centro Histórico,600,Cuauhtémoc,"55 2462 2175, 55 5518 8312",Lunes a domingo de 10 a 18 h,"Entrada general $240, Locales de la Ciudad de México o el Estado de México $180, Estudiantes, maestros, INAPAM, discapacitados $140, Niños de seis a 12 años $90",El Museo del Cacao y Chocolate CDMX (Choco-Story Zócalo) se ubica en un edificio colonial restaurado y muestra la historia del cacao y el chocolate desde sus primeros usos en épocas prehispánicas hasta la actualidad.,,19.4350178,-99.13256020000001
Museo Ferrocarrilero Víctor Flores Morales,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1114,Av. Ricardo Flores Magón 206,Guerrero,6300,Cuauhtémoc,"(55) 5597 1009, 5597 1255",Lunes a viernes de 10:00 a 15:00 hrs.,Entrada libre,"El Museo Ferrocarrilero Víctor Flores Morales tiene como objetivo dar a conocer a las nuevas generaciones la historia, el conocimiento y la aportación de los ferrocarrileros al desarrollo de México. Fue inaugurado en 2001 en las instalaciones del Sindicato de Trabajadores Ferrocarrileros de la República Mexicana.",17 de julio de 2001,19.4525273,-99.1502075
Herbario Medicinal del IMSS,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=503,Av. Cuauhtémoc 330,Doctores,6720,Cuauhtémoc,"55 5588 5607, 55 5627 6900 ext. 22924",Abierto al público de lunes a viernes de 10:00 a 14:00 hrs.,Entrada libre,El Herbario Medicinal del IMSS es un museo que alberga una gran cantidad de plantas medicinales utilizadas en la medicina tradicional mexicana.,1 de junio de 1978,19.4086467,-99.15339879999999
Museo Kaluz,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2066,Av. Hidalgo 85,Guerrero,6300,Cuauhtémoc,55 2345 3168,Miércoles a lunes de 10 a 17 hrs. Miércoles entrada libre.,"Costo de la entrada: $60 público general, $30 pesos personas de la tercera edad con identificación. Entrada gratuita a niños menores de 12 años, maestros y estudiantes con credencial vigente, así como vecinos de la zona con comprobante de domicilio.","El Museo Kaluz dedicado al arte mexicano, fue inaugurado el 23 de octubre de 2020. Se encuentra albergado en el edificio que por muchos años fue el Hotel de Cortés y ofrece al público la vasta colección de arte Kaluz, que comprende autores mexicanos y extranjeros de los siglos XVIII al XXI.",23 de octubre de 2020,19.4374964,-99.14584719999999
Museo Casa de las Mil Muñecas,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2417,Av. Chapultepec 420,Roma Norte,6700,Cuauhtémoc,55 5922 8451,Martes a domingo de 10:00 a 18:00 h,"Entrada general: $150, Entrada con descuento: $120 a estudiantes, infantiles, maestros y adultos mayores con credencial vigente, Menores de 2 años: entrada gratuita","El Museo Casa de las Mil Muñecas es un espacio diseñado para albergar la colección Rosana Duffour, que es la más amplia colección de muñecas de origen nacional e internacional. Difunde la importancia del juego para el desarrollo de la niñez a través de la revisión histórica de las muñecas.",9 de febrero de 2024,19.4220042,-99.16858850000001
Museo del Pulque y las pulquerías,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2110,"Av. Hidalgo 107, Ex Convento de San Hipólito",Guerrero,6300,Cuauhtémoc,"55 7160 45 02, 55 7159 26 95",Miércoles a lunes de 11:00 a 18:00 hrs. Los días 28 de cada mes estará cerrado.,"Entrada general: $20, Entrada con credencial de estudiante, maestro e INAPAM: $15.","El Museo del Pulque y las pulquerías tiene como objetivo dignificar y poner en alto el nombre del pulque para las nuevas generaciones, brindando un recorrido didáctico por la historia de su producción en México.",8 de febrero de 2019,19.4377723,-99.14720009999999
Museo Experimental El Eco,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=344,Sullivan 43,San Rafael,6470,Cuauhtémoc,"55 5535 5186, 55 5535 4351",Martes a domingo de 11 a 18 h,Entrada libre,"Auténtica realización material del Manifiesto de la Arquitectura Emocional de su creador, Mathías Goeritz, El Museo Experimental El Eco ha representado desde su inauguración uno de los espacios paradigmáticos de la arquitectura del siglo XX en México.",,19.4334112,-99.16120480000001
Museo Foro Valparaíso,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2168,Venustiano Carranza 60,Centro Histórico,6000,Cuauhtémoc,"55 1226 4290, 55 2262 6367",Miércoles a domingos de 10 a 18 h.,Entrada libre.,"Foro Valparaíso es un espacio del Banco Nacional de México dedicado al emprendimiento, la innovación y la cultura.",,19.4313647,-99.1361106
Museo de Sitio CCEMX-INAH,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1523,Donceles 97,Centro,6010,Cuauhtémoc,55 5521 1925 al 28,Abierto al público de martes a viernes de 11 a 21hrs. Domingos de 10 a 16 hrs. Lunes y días festivos cerrado. Visitas de grupos sólo con previa cita,Entrada libre,"El Museo de Sitio CCEMX-INAH alberga los vestigios de lo que fuera el Calmécac de la antigua Tenochtitlan, colegio donde estudiaban los hijos de los nobles mexicas. El museo exhibe restos de una gran plaza abierta, una escalinata contemporánea al Templo Mayor y una subestructura del Calmécac.",,19.435695,-99.13286049999999
"Galería de Historia, Museo del Caracol",https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=970,Rampa de acceso al Castillo de Chapultepec s/n,San Miguel Chapultepec,11580,Miguel Hidalgo,55 5211 5239,Martes a domingo de 9 h a 16:15 h,"Entrada general: $210, Nacionales y residentes: $105, Entrada gratuita (aplica únicamente al presentar credencial oficial vigente): menores de 13 años, estudiantes, docentes, personas adultas mayores y personas con discapacidad, Entrada libre: domingos (solo para nacionales y residentes), La utilización de videocámara está sujeta al pago de derechos","El museo, inaugurado el 21 de noviembre de 1960, se ideó con el objetivo de ilustrar la historia moderna del país, desde la guerra de Independencia hasta la Revolución.",21 de noviembre de 1960,19.4198745,-99.1825292
Anfibium: Museo del Axolote y Centro de Conservación de Anfibios,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2311,Calz. Chivatito s/n,Bosque de Chapultepec 1a. Sección,11850,Miguel Hidalgo,,Martes a domingo de 10:30 a 15 hrs.,Entrada gratuita.,"El Anfibium: Museo del Axolote y Centro de Conservación de Anfibios tiene como objetivo la protección y estudio del ajolote, especie endémica de la cuenca del Valle de México, en particular de Xochimilco.",21 de enero de 2023,19.4194815,-99.18945579999999
Museo Nacional de Historia Castillo de Chapultepec,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=673,"Bosque de Chapultepec, primera sección",Polanco V sección,11560,Miguel Hidalgo,"55 4040 5214, 55 4040 5200, 55 4040 5260",Martes a domingo de 9 h a 17 h,"Entrada general: $100, Entrada gratuita (aplica únicamente al presentar credencial oficial vigente): menores de 13 años, estudiantes, docentes, personas adultas mayores y personas con discapacidad","El Museo Nacional de Historia Castillo de Chapultepec exhibe los hechos históricos más trascendentales de México, desde la Conquista y formación de la Nueva España hasta los albores del siglo XX.",1944,19.4194815,-99.18945579999999
Museo de Historia Natural y Cultura Ambiental,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=238,Av. de los Compositores s/n,Bosque de Chapultepec II sección,11800,Miguel Hidalgo,"55 5515 0739 ext. 112, 113",Martes a domingo de 10 a 17 h.,"Acceso general $38.00, Niños, maestros y estudiantes $ 18, Visita guiada  (previa reservación) $15, Adultos mayores de 60 años (con credencial del INAPAM), Personas con discapacidad y Niños menores de tres años, entrada libre.","El Museo de Historia Natural y Cultura Ambiental (MHNCA) es una institución cultural de divulgación científica sin fines de lucro que tiene como propósito estimular, documentar y difundir actividades que promuevan el conocimiento sobre las Ciencias Naturales y el fomento a la Cultura Ambiental.",,19.4153104,-99.1986508
"Maná, Museo de la Biblia",https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=502,Tonantzin 31,Tlaxpana,11370,Miguel Hidalgo,"55 5591 0139, 55 5672 0007",visitas guiadas para el público en general y grupos con previa reservación,,"Maná, Museo de la Biblia resguarda más de mil 600 biblias escritas en diversos idiomas y ofrece diplomados de ciencias bíblicas, filosofía y religión, así como talleres de dibujo, teatro, música y ballet.",30 de julio de 2000,19.4433879,-99.16895260000001
Sala de Arte Público Siqueiros,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=786,Tres Picos 29,Polanco,11560,Miguel Hidalgo,55 8647 5340 y 43,Martes a domingo de 11 h a 17 h,"Entrada general: $35, Entrada gratuita (aplica únicamente al presentar credencial oficial vigente): menores de 12 años, estudiantes, docentes y personas adultas mayores, Entrada libre: domingos","Este recinto forma parte del Proyecto Siqueiros, una institución museística que cuenta con dos sedes, la Sala de Arte Público y La Tallera, los cuales conforman parte del legado del muralista David Alfaro Siqueiros. El museo está dedicado a la preservación y difusión de la obra plástica, documental y mural del artista y de sus contemporáneos.",29 de enero de 1969,19.4289787,-99.1873529
Museo Casa Presidencial Lázaro Cárdenas,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2181,"Col. San Miguel Chapultepec, 1ra sección",San Miguel Chapultepec,11850,Miguel Hidalgo,55 41550200 ext. 2412,Martes a domingo de 11 a 17 hrs.,Entrada gratuita.,"El Museo Casa Presidencial Lázaro Cárdenas se encuentra dentro de las instalaciones del Complejo Cultural Los Pinos y ofrece una síntesis de la vida, obra y legado del expresidente Lázaro Cárdenas.",19 de octubre de 2020,19.4092984,-99.18782859999999
Museo de Sitio y Centro de Visitantes del Bosque de Chapultepec,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2064,General Miguel Hidalgo s/n,1a. Sección del Bosque de Chapultepec,11850,Miguel Hidalgo,"55 5925 4372, 55 4854 1438",Martes a domingo de 10:00 a 17:00 hrs.,Entrada libre,El Museo de Sitio y Centro de Visitantes del Bosque de Chapultepec alberga la memoria histórica y la riqueza biológica y cultural del Bosque de Chapultepec.,14 de noviembre de 2018,19.4194815,-99.18945579999999
Museo de Geofísica,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1614,Victoriano Zepeda 53,Observatorio,11860,Miguel Hidalgo,55 5271 1068,lunes a viernes de 10:00 a 16:00 hrs.,,El Museo de Geofísica es un museo ubicado en la Ciudad de México que exhibe instrumentos científicos históricos utilizados en las diferentes áreas de la geofísica.,10 de septiembre de 2010,19.404758,-99.1954365
Museo Nacional de Antropología (MNA),https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=807,Av. Paseo de la Reforma esq. Calz. Gandhi s/n,Chapultepec Polanco,11560,Miguel Hidalgo,"55 5553 6332, 55 5553 6315, 55 55534791 ext. 412309",Martes a domingo de 9 h a 18 h,"Entrada general: $100, Entrada gratuita (aplica únicamente al presentar credencial oficial vigente): menores de 13 años, estudiantes, docentes, personas adultas mayores y personas con discapacidad, Entrada libre: domingos (en caso de extranjeros residentes en el país, es necesario presentar documento FM vigente)","El Museo Nacional de Antropología (MNA) es un museo que se encarga de la salvaguarda del legado indígena, del resguardo, la promoción y difusión de las colecciones arqueológicas y etnográficas más importantes del país, y de promover la investigación del patrimonio cultural.",17 de septiembre de 1964,19.4194815,-99.18945579999999
Museo Casa de la Bola,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=548,Av. Parque Lira 136,Tacubaya,11860,Miguel Hidalgo,"55 2614 0164, 55 2614 0393",La entrada al museo es únicamente en recorrido guiado y por el momento solo con cita previa confirmada.,La entrada tiene un costo de $60,"El Museo Casa de la Bola es una casa del siglo XVII que fue restaurada y convertida en un museo que alberga una colección de muebles, porcelanas, relojes, pinturas y otros objetos decorativos de los siglos XV al XX.",,19.4047565,-99.1884343
Museo de Caballería,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1232,"Av. México Tacuba, Campo Militar 1-B",Popotla,11411,Miguel Hidalgo,(55) 5396 5975,"Abierto al público de martes a sábado de 10:00 a 18:00 hrs., domingo y días festivos de 10:00 a 16:00 hrs.",Entrada libre a todo público,"El Museo de Caballería se encuentra en un edificio construido originalmente para la Escuela Normal Primaria para Maestros, y posteriormente alojó al Colegio Militar. Cuenta con 10 salas que exaltan la importancia de la caballería en la historia de México.",,19.4543081,-99.1776562
Papalote Museo del Niño Chapultepec,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=375,Av. Constituyentes 268,"Daniel Garza, 2da. Sección del Bosque de Chapultepec",11830,Miguel Hidalgo,55 5237 1700,"martes a viernes de 10 a 18 hrs., sábado y domingo de 10 a 19 hrs.",Costo de entrada $ 199,"El Papalote Museo del Niño Chapultepec es un museo interactivo infantil que cuenta con 6 áreas temáticas, incluyendo acercamiento a seres vivos, ecosistemas mexicanos, el mundo y el espacio exterior.",5 de noviembre de 1993,19.4113369,-99.1944595
Mapoteca Manuel Orozco y Berra (MOB),https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=911,Av. Observatorio 192,Observatorio,11860,Miguel Hidalgo,"55 3871 8500 exts. 48147, 48205, 48206, 55 2396 2671",Lunes a viernes de 8 a 16 h,Entrada libre,"La Mapoteca Manuel Orozco y Berra (MOB) es un museo que alberga una colección cartográfica de más de 100,000 documentos, incluyendo mapas históricos desde el siglo XVII hasta el siglo XIX.",1977,19.4034148,-99.1964655
Museo de Bomberos de la Ciudad de México,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2518,José María Vigíl 56,Tacubaya,11870,Miguel Hidalgo,"55 5515 5994, 55 5515 0437, 55 5515 2399","Martes a domingo, de 9 a 14 h.",Entrada gratuita.,El Museo de Bomberos de la Ciudad de México se encuentra en un inmueble del siglo XVI que originalmente fue una visita franciscana y luego ocupado por la Orden de los Dominicos.,12 de marzo de 2025,19.401595,-99.18570489999999
Museo Jumex,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1484,Blvd. Miguel de Cervantes Saavedra 303,Granada,11520,Miguel Hidalgo,"55 5395 2618, 55 5395 2615",Martes a domingo de 10:00 a 19:00 hrs. Domingos entrada libre,"Público nacional $38, Público general $50, Estudiantes, menores de 15 años y maestros con credencial e INAPAM entrada gratuita.","El Museo de la Colección Jumex. Plaza Carso, cuenta con dos plantas de exhibición de dos mil metros cuadrados cada una de ellas. Tiene por misión promover la producción, conservación investigación, reflexión, construcción de sentido, comunicación y exhibición del arte contemporáneo producido en México y el extranjero.",19 de noviembre de 2013,19.4404064,-99.2039023
Museo del Centenario del Ejército Mexicano,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1874,Blvd. Manuel Ávila Camacho esq. Av. Industria Militar,Lomas de Sotelo,11200,Miguel Hidalgo,55 2122 8800 ext. 8808,Lunes a viernes de 8:00 a 16:00 hrs. Sábados de 9:00 a 12:00 hrs.,Entrada libre,"Se trata de un museo que combina la calidad de las piezas que se exhiben con recursos tecnológicos e iconográficos, que muestra de forma clara la historia militar de México, desde la época prehispánica hasta el Ejército actual.",,19.4363504,-99.2208577
Museo Nacional de la Cartografía,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2507,"Av. Observatorio 94, esq. Periférico",Tacubaya,11870,Miguel Hidalgo,55 5272 6686,"Martes a sábado de 10 a 17 h, Domingos y días festivos de 10 a 16 h",,"El Museo Nacional de la Cartografía es un recinto cultural que exhibe códices cartográficos, mapas de la Nueva España y la Ciudad de México, así como instrumentos fotogramétricos y la historia de la Dirección de Geografía y Meteorología.",,19.4045616,-99.1910302
Cencalli: Casa del Maíz y la Cultura Alimentaria,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2194,Av. Parque Lira s/n,"Bosque de Chapultepec, 1a. Sección",11850,Miguel Hidalgo,55 4155 0200 ext. 2412,Martes a Domingo de 10 a 17 h.,Entrada libre,"Cencalli es un recinto dedicado a pensar y divulgar la cultura alimentaria como parte del patrimonio cultural, tradición e historia de México. Su objetivo es mostrar la biodiversidad alimentaria, la técnica, el arte y la cultura que gira alrededor de los saberes culinarios ancestrales y contemporáneos del país.",,19.4073504,-99.1894138
La Casa Luis Barragán,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=478,Gral. Francisco Ramírez 14-16,Ampliación Daniel Garza,11840,Miguel Hidalgo,55 8104 0688,Lunes a Viernes de 11 a 17 h,"Entrada general $400 + cargos por servicio, Entrada a público nacional y residentes oficiales $300 + cargos por servicio, Entrada a estudiantes/profesores nacionales e internacionales $200 + cargos por servicio, Entrada a personas con credencial de INAPAM $200 + cargos por servicio","La Casa Luis Barragán es una casa, habitación, estudio y taller, considerada obra clave de la arquitectura del siglo XX. Fue construida en 1947 por Luis Barragán y reconocida por la UNESCO como Patrimonio Mundial en 2004.",1947,19.411043,-99.19237849999999
Museo de Arte Contemporáneo Internacional Rufino Tamayo,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=335,Paseo de la Reforma 51 esq. Gandhi,Bosque de Chapultepec,11580,Miguel Hidalgo,55 4122 8200,Martes a domingo de 11 h a 17 h,"Entrada general: $70, Entrada gratuita (aplica únicamente al presentar credencial oficial vigente): menores de 12 años, estudiantes, docentes y personas adultas mayores, Entrada libre: domingos","El museo, una iniciativa de Rufino Tamayo y Olga Flores Rivas, se abrió al público el 30 de mayo de 1981 con la idea de contar con un espacio que acercara el arte internacional al público mexicano. Actualmente, este espacio se enfoca en profundizar en los diálogos y las rupturas entre el arte moderno y el contemporáneo.",30 de mayo de 1981,19.4257931,-99.1816714
Museo de Arte Moderno (MAM),https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=658,Paseo de la Reforma y Gandhi s/n,Bosque de Chapultepec,11560,Miguel Hidalgo,"55 8647 5530, 55 5211 7827, 55 5211 8207",Martes a domingo de 10:15 h a 17:30 h,"Entrada general: $95, Entrada gratuita (aplica únicamente al presentar credencial oficial vigente): estudiantes, docentes y personas adultas mayores, Entrada libre: domingos",El Museo de Arte Moderno (MAM) es un espacio que exhibe obras de artistas representativos del arte mexicano del siglo XX y ofrece importantes muestras del arte contemporáneo internacional.,20 de septiembre de 1964,19.4194815,-99.18945579999999
"Museo Soumaya, Plaza Carso",https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=1478,Blvd. Miguel de Cervantes Saavedra 303,Ampl. Granada,11529,Miguel Hidalgo,55 1103 9801 al 03,Lunes a domingo de 10:30 a 18:30 h,Entrada libre,"El Museo Soumaya Plaza Carso exhibe alrededor de 6,200 obras, incluyendo piezas prehispánicas, la colección de medallas, monedas y billetes del virreinato más grande en México, y obras de artistas europeos y mexicanos.",,19.4404064,-99.2039023
Museo Legislativo Sentimientos de la Nación,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=975,"Emiliano Zapata 66, edificio C, planta baja",El Parque,15960,Venustiano Carranza,55 5036 0000 ext. 67051,"Previa cita. Horarios de visita: De 10 a 18 h, en los siguientes turnos 10, 11:30, 13, y 16:30 h.",Favor de confirmar su visita con un mínimo de 24 horas de anticipación.,"El Museo Legislativo Sentimientos de la Nación de la Cámara de Diputados recorre el largo camino de las ideas, las expresiones orales y escritas de los esfuerzos legislativos que han construido primero el andamiaje y luego los cimientos de nuestra norma jurídica.",24 de octubre de 1994,19.4316942,-99.1170063
Sala Permanente del Archivo General de la Nación,https://sic.cultura.gob.mx/ficha.php?table=museo&table_id=2551,"Avenida Ing. Eduardo Molina 113, s/n",Penitenciaría,15280,Venustiano Carranza,"55 5133 9900 exts. 19329, 19021, 55 3563 3796",Lunes a viernes de 9 a 16:45 h.,"Se ofrecen visitas guiadas sin costo. Para grupos pequeños (menos de cinco personas), se puede reservar por correo electrónico; para grupos más grandes, la reservación se hace en la página web oficial.","La Sala Permanente del Archivo General de la Nación ofrece a los visitantes un recorrido por la historia del edificio, que alguna vez fue la Penitenciaría de Lecumberri, y la importancia de preservar el patrimonio documental del país.",,19.4363268,-99.113239
